neuron,concept,concept_id,metric
660,mobile home,n03776460,0.9954
661,model t,n03777568,0.9995
662,modem,n03777754,0.9931
663,monastery,n03781244,0.9972
664,screen,n04152593,0.9961
665,moped,n03785016,0.9971
666,mortar,n03786901,0.9864
667,mortarboard,n03787032,0.9989
668,mosque,n03788195,0.9995
669,mosquito net,n03788365,0.9972
670,motor scooter,n03791053,0.9989
671,mountain bike,n03792782,0.9987
672,mountain tent,n03792972,0.9992
673,desktop computer,n03180011,0.9932
674,mousetrap,n03794056,0.9927
675,moving van,n03796401,0.9974
676,muzzle,n03803284,0.9758
677,nail,n03804744,0.9943
678,neck brace,n03814639,0.9905
679,necklace,n03814906,0.9973
680,nipple,n03825788,0.9901
681,notebook,n03832673,0.9949
682,obelisk,n03837869,0.9993
683,oboe,n03838899,0.9966
684,ocarina,n03840681,0.9972
685,odometer,n03841143,0.9997
686,oil filter,n03843555,0.9943
687,organ,n03854065,0.9993
688,oscilloscope,n03857828,0.9978
689,overskirt,n03866082,0.9978
690,oxcart,n03868242,0.9982
691,oxygen mask,n03868863,0.9923
692,packet,n03871628,0.9949
693,paddle,n03873416,0.9924
694,paddlewheel,n03874293,0.9990
695,padlock,n03874599,0.9868
696,paintbrush,n03876231,0.9855
697,pajama,n03877472,0.9968
698,palace,n03877845,0.9984
699,panpipe,n03884397,0.9947
700,paper towel,n03887697,0.9790
701,parachute,n03888257,0.9976
702,parallel bars,n03888605,0.9976
703,park bench,n03891251,0.9989
704,parking meter,n03891332,0.9978
705,electric locomotive,n03272562,0.9986
706,patio,n03899768,0.9981
707,pay-phone,n03902125,0.9935
708,pedestal,n03903868,0.9942
709,pencil box,n03908618,0.9953
710,pencil sharpener,n03908714,0.9916
711,perfume,n03916031,0.9928
712,petri dish,n03920288,0.9943
713,photocopier,n03924679,0.9978
714,acoustic guitar,n02676566,0.9942
715,pickelhaube,n03929855,0.9994
716,picket fence,n03930313,0.9986
717,pickup,n03930630,0.9973
718,pier,n03933933,0.9971
719,piggy bank,n03935335,0.9995
720,pill bottle,n03937543,0.9910
721,pillow,n03938244,0.9976
722,ping-pong ball,n03942813,0.9951
723,pinwheel,n03944341,0.9996
