neuron,concept,concept_id,metric
197,"hunting lodge, outdoor",184,0.9389
198,cockpit,98,0.8802
199,bank vault,37,0.9569
200,"booth, indoor",61,0.9733
201,supermarket,321,0.9286
202,carrousel,83,0.9981
203,legislative chamber,211,0.9674
204,kindergarden classroom,202,0.9399
205,aquarium,9,0.9033
206,"greenhouse, outdoor",166,0.9939
207,"swimming pool, outdoor",326,0.9562
208,ice shelf,187,0.9628
209,field road,142,0.9702
210,operating room,248,0.9935
211,bamboo forest,36,0.9738
212,legislative chamber,211,0.9616
213,courtyard,109,0.8978
214,runway,293,0.9596
215,sky,306,0.9703
216,amusement park,7,0.9027
217,corridor,106,0.9777
218,amusement arcade,6,0.9754
219,amusement arcade,6,0.9595
220,"doorway, outdoor",123,0.9431
221,mountain snowy,234,0.9557
222,pizzeria,267,0.9441
223,martial arts gym,225,0.9627
224,aqueduct,10,0.9658
225,bowling alley,64,0.9970
226,bullring,68,0.9570
227,rock arch,289,0.9831
228,bedchamber,51,0.9557
229,junkyard,199,0.9773
230,sauna,295,0.9671
231,throne room,331,0.9822
232,"bow window, indoor",63,0.9428
233,corridor,106,0.9650
234,raft,277,0.9851
235,airfield,0,0.9878
236,"bazaar, indoor",46,0.9663
237,"garage, outdoor",157,0.9779
238,corral,105,0.9759
239,lock chamber,218,0.9562
240,pagoda,251,0.9911
241,rock arch,289,0.9340
242,"train station, platform",337,0.8231
243,"florist shop, indoor",147,0.9153
244,car interior,82,0.9992
245,"escalator, indoor",135,0.9769
246,lighthouse,214,0.9944
247,"general store, outdoor",161,0.9647
248,sauna,295,0.9411
249,sauna,295,0.9265
250,"basketball court, indoor",44,0.9676
251,"shopping mall, indoor",302,0.9272
252,windmill,361,0.9407
253,wet bar,358,0.9072
254,bus interior,70,0.9774
255,water tower,354,0.9214
256,fountain,154,0.9859
257,fishpond,145,0.9574
258,desert road,118,0.9374
259,nursery,240,0.9441
260,beer hall,54,0.9241
261,legislative chamber,211,0.9214
262,bowling alley,64,0.9919
263,auto showroom,29,0.9194
264,soccer field,310,0.9767
265,bookstore,60,0.9711
266,car interior,82,0.9985
267,"bazaar, outdoor",47,0.8862
268,"florist shop, indoor",147,0.9773
269,kasbah,200,0.8534
270,hayfield,173,0.9707
271,runway,293,0.9767
272,topiary garden,333,0.9283
273,"gymnasium, indoor",168,0.9554
274,swamp,323,0.9451
275,sky,306,0.9478
276,gift shop,162,0.9289
277,jail cell,196,0.9449
278,baseball field,42,0.9496
279,"train station, platform",337,0.9888
280,food court,148,0.9177
281,hotel room,182,0.8972
282,"desert, sand",116,0.9850
283,castle,84,0.9344
284,landfill,206,0.9702
285,catacomb,85,0.9788
286,"jacuzzi, indoor",195,0.9943
287,"swimming pool, outdoor",326,0.9522
288,kasbah,200,0.9665
289,auto showroom,29,0.9579
290,courtyard,109,0.9526
291,raft,277,0.9793
292,"florist shop, indoor",147,0.9758
293,beer hall,54,0.9798
294,soccer field,310,0.9792
295,sandbox,294,0.9588
296,"train station, platform",337,0.9660
297,lighthouse,214,0.9306
298,schoolhouse,296,0.9339
299,restaurant kitchen,285,0.9793
300,carrousel,83,0.9786
301,"gymnasium, indoor",168,0.9728
302,martial arts gym,225,0.9159
303,throne room,331,0.9193
304,shopfront,301,0.9430
305,aquarium,9,0.9815
306,shoe shop,300,0.9965
307,operating room,248,0.9660
308,cottage,107,0.9503
309,barndoor,41,0.9625
310,igloo,191,0.9578
311,"parking garage, outdoor",256,0.9593
312,hayfield,173,0.9686
313,amusement park,7,0.9577
314,soccer field,310,0.9408
315,skyscraper,307,0.9754
316,iceberg,190,0.9584
317,"swimming pool, outdoor",326,0.9245
318,amusement arcade,6,0.9560
319,operating room,248,0.8996
320,trench,340,0.9770
321,"canal, natural",78,0.9441
322,veterinarians office,346,0.9741
323,"hunting lodge, outdoor",184,0.9367
324,office cubicles,246,0.9723
325,"underwater, ocean deep",342,0.9711
326,ball pit,34,0.9523
327,"stadium, soccer",314,0.9883
328,airport terminal,2,0.9433
329,kasbah,200,0.9592
330,desert road,118,0.9275
331,barndoor,41,0.9135
332,ski resort,304,0.9930
333,banquet hall,38,0.9666
334,fountain,154,0.9743
335,"parking garage, outdoor",256,0.9651
336,landfill,206,0.9637
337,"jacuzzi, indoor",195,0.9628
338,veterinarians office,346,0.9491
339,laundromat,208,0.9715
340,bridge,66,0.9647
341,nursery,240,0.9493
342,badlands,30,0.9503
343,vineyard,349,0.9410
344,junkyard,199,0.9912
345,waterfall,355,0.9841
346,"basketball court, indoor",44,0.9636
347,banquet hall,38,0.9822
348,wave,357,0.9639
349,excavation,136,0.9794
